Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_1023600,5527,3209,820,583,1822,341
PBANKA_1023700,383,233,92,25,157,32
PBANKA_1023800,4234,1392,458,457,2063,483
PBANKA_1023900,809,462,175,215,601,115
PBANKA_1024000,1178,435,122,197,331,111
PBANKA_1024100,1356,548,190,189,570,58
PBANKA_1024200,1064,454,165,89,410,59
PBANKA_1024300,2542,1158,321,352,817,266
PBANKA_1024311,65,223,767,884,5308,168
PBANKA_1024331,0,1,2,8,8,7
PBANKA_1024341,0,2,3,0,3,7
PBANKA_1024351,11,15,35,102,837,34
PBANKA_1024371,1,15,6,13,8,15
PBANKA_1024400,1603,1885,359,316,1037,185
PBANKA_1024500,97,69,30,5,40,11
PBANKA_1024600,198,131,29,23,142,42
PBANKA_1024700,2758,2434,698,1143,1426,422
PBANKA_1024800,3510,3218,1391,1659,4235,755
PBANKA_1024900,13165,5287,1400,1837,3068,1753
PBANKA_1025000,1737,1494,498,598,979,531
PBANKA_1025100,17029,3860,80,893,5061,1544
PBANKA_1025200,1086,674,198,251,480,130
PBANKA_1025300,4098,1484,160,304,1425,292
PBANKA_1025400,2609,1113,329,226,892,224
PBANKA_1025500,25287,6938,247,1488,8589,2245
PBANKA_1025600,539,305,113,68,223,55
PBANKA_1025700,520,471,127,159,340,107
PBANKA_1025800,457,459,143,223,341,108
PBANKA_1025900,2797,1330,342,419,986,324
PBANKA_1026000,4801,5601,1517,1205,3878,1042
PBANKA_1026100,2925,914,46,195,1154,227
PBANKA_1026200,1974,1991,730,767,1540,381
PBANKA_1026300,6084,3043,794,551,2226,599
PBANKA_1026400,1024,462,155,97,367,98
PBANKA_1026500,8924,2528,799,659,2052,504
PBANKA_1026600,3627,1469,542,334,1234,251
PBANKA_1026700,1514,1277,733,276,713,150
PBANKA_1026800,3844,3540,823,1060,1871,568
PBANKA_1026900,1299,768,248,122,651,73
PBANKA_1027000,21137,18912,4702,5670,10793,4324
PBANKA_1027100,3095,886,289,444,1526,606
PBANKA_1027200,1271,376,103,156,382,96
PBANKA_1027300,4880,1267,374,538,2838,510
PBANKA_1027400,319,175,46,54,111,25
PBANKA_1027500,146,89,51,49,166,29
PBANKA_1027600,556,246,117,51,282,60
PBANKA_1027700,2833,2225,658,448,1298,302
PBANKA_1027800,1407,664,222,247,650,167
PBANKA_1027900,1443,962,324,265,685,188
PBANKA_1028000,2697,1163,294,235,1075,198
PBANKA_1028100,1039,433,157,167,415,109
PBANKA_1028200,33020,11128,2125,4911,11375,3963
PBANKA_1028300,4747,2427,836,784,1526,691
PBANKA_1028400,7085,3915,1285,1884,2824,905
PBANKA_1028500,1575,612,305,214,861,152
PBANKA_1028600,2007,760,250,228,662,121
PBANKA_1028700,16181,10594,3019,2985,6236,1904
PBANKA_1028800,5024,3612,815,1442,2721,816
PBANKA_1028900,353,425,161,135,547,53
PBANKA_1029000,1332,1066,241,148,839,147
PBANKA_1029100,92,45,15,21,76,17
PBANKA_1029200,237,214,86,45,161,38
PBANKA_1029300,708,472,121,121,329,126
PBANKA_1029400,6691,6998,1860,295,1639,297
PBANKA_1029500,734,464,162,32,117,36
PBANKA_1029600,4999,2381,881,85,537,61
PBANKA_1029700,3003,2146,742,512,962,275
PBANKA_1029800,1220,715,231,204,492,155
PBANKA_1029900,600,317,90,68,159,29
PBANKA_1030000,358,165,58,62,128,25
PBANKA_1030100,10138,6845,2496,1787,4095,1149
PBANKA_1030200,2702,1156,243,331,915,301
PBANKA_1030300,3493,2422,1145,548,2281,491
PBANKA_1030400,9308,4752,1573,356,1297,581
PBANKA_1030500,1739,303,94,86,306,55
PBANKA_1030600,6788,4632,2298,2542,6832,1199
PBANKA_1030700,299,130,63,59,151,40
PBANKA_1030800,115,50,22,15,47,6
PBANKA_1030900,230,114,53,47,98,26
PBANKA_1031000,1047,536,130,183,350,157
PBANKA_1031100,2428,868,71,212,755,218
PBANKA_1031200,2079,973,367,278,924,229
PBANKA_1031300,2092,1497,462,300,1122,281
PBANKA_1031400,1003,418,187,167,592,68
PBANKA_1031500,4365,1245,326,343,1317,234
PBANKA_1031600,2240,1504,437,375,999,143
PBANKA_1031700,272,296,95,101,238,32
PBANKA_1031800,870,413,167,197,361,128
PBANKA_1031900,4072,2114,761,1233,1299,608
PBANKA_1032000,399,191,80,108,148,60
PBANKA_1032100,2180,1521,721,343,2095,120
PBANKA_1032200,9252,2467,154,579,2798,657
PBANKA_1032300,6021,3211,950,552,962,325
PBANKA_1032400,4101,2903,771,524,1622,515
PBANKA_1032500,1884,1075,401,216,490,140
PBANKA_1032600,2105,1209,443,434,1101,246
PBANKA_1032700,5294,1848,605,542,1301,347
PBANKA_1032800,1297,471,138,271,524,202
PBANKA_1032900,1093,442,175,63,216,27
PBANKA_1033000,2210,948,149,288,777,222
PBANKA_1033100,2428,2034,701,1122,2143,445
PBANKA_1033200,912,432,146,91,306,63
PBANKA_1033300,1465,1092,394,382,782,295
PBANKA_1033400,2493,1197,314,539,879,336
PBANKA_1033500,349,156,59,47,144,29
PBANKA_1033600,805,478,95,115,355,93
PBANKA_1033700,5218,2082,663,110,496,74
PBANKA_1033800,19958,3881,223,560,3596,587
PBANKA_1033900,5444,4731,1342,1422,2270,868
PBANKA_1034000,1783,1473,945,1639,2763,597
PBANKA_1034100,12876,4479,1419,287,881,130
PBANKA_1034200,177,42,13,8,31,7
PBANKA_1034300,9328,2815,426,955,2598,705
PBANKA_1034400,16387,9401,5452,3285,12323,1774
PBANKA_1034500,153,126,41,47,112,40
PBANKA_1034600,1912,1158,429,519,1465,289
PBANKA_1034700,3325,3005,790,694,2989,430
PBANKA_1034800,1852,801,318,69,463,84
PBANKA_1034900,3186,1842,668,934,1610,753
PBANKA_1035000,1420,1153,358,214,783,162
PBANKA_1035100,2290,1553,688,943,1767,842
PBANKA_1035200,24566,7798,1052,2309,5824,2186
PBANKA_1035300,855,631,196,192,491,104
PBANKA_1035400,62341,59518,18589,26053,51676,9630
PBANKA_1035500,1278,749,389,212,1218,97
PBANKA_1035600,2654,1052,333,248,694,228
PBANKA_1035700,7593,2479,802,510,1330,378
PBANKA_1035800,1642,595,241,135,470,88
PBANKA_1035900,4338,2183,709,940,2230,306
PBANKA_1036000,5625,2043,250,548,1587,338
PBANKA_1036100,729,282,100,102,339,85
PBANKA_1036200,1531,547,305,215,1085,114
PBANKA_1036300,1951,1145,312,120,583,87
PBANKA_1036400,2122,928,235,215,684,131
PBANKA_1036500,1730,752,292,245,664,165
PBANKA_1036600,4416,2046,713,368,1703,330
PBANKA_1036700,666,295,65,94,190,91
PBANKA_1036800,1053,259,120,145,275,123
PBANKA_1036900,1545,480,180,208,462,117
PBANKA_1037000,963,270,88,53,243,42
PBANKA_1037100,2547,1103,404,223,1796,179
PBANKA_1037200,1346,679,255,237,561,171
PBANKA_1037300,3056,1513,521,267,1206,161
PBANKA_1037400,456,291,107,61,308,39
PBANKA_1037500,6669,2143,763,177,446,200
PBANKA_1037600,1542,923,275,149,529,93
PBANKA_1037700,332,222,100,122,271,46
PBANKA_1037800,1511,2013,493,1129,1652,502
PBANKA_1037900,3207,2020,1043,112,816,26
PBANKA_1038000,497,451,248,238,591,97
PBANKA_1038100,230,74,76,34,97,16
PBANKA_1038200,16370,5938,1021,1138,3332,892
PBANKA_1038300,1807,958,434,423,1229,191
PBANKA_1038400,3741,2926,1081,1174,3087,693
PBANKA_1038500,2711,1100,430,99,613,81
PBANKA_1038600,4937,2352,700,206,789,228
PBANKA_1038700,7163,2887,661,384,943,248
PBANKA_1038800,7131,4589,1498,1106,2416,647
PBANKA_1038900,11077,4226,877,1256,3056,480
PBANKA_1039000,4998,3985,1221,226,833,190
PBANKA_1039100,1555,611,131,207,508,115
PBANKA_1039200,350,227,85,81,183,48
PBANKA_1039300,2449,1014,355,428,936,372
PBANKA_1039400,2706,2450,1595,671,4723,395
PBANKA_1039450,10,7,4,7,16,6
PBANKA_1039500,2198,839,236,330,808,305
PBANKA_1039600,1779,576,203,175,572,118
PBANKA_1039700,2715,2007,571,553,1261,242
PBANKA_1039800,157,35,29,11,42,11
PBANKA_1039900,336,83,57,27,72,11
PBANKA_1040000,2140,1611,529,64,387,79
PBANKA_1040100,33407,17622,4307,4871,14283,3384
PBANKA_1040151,142,106,48,30,80,9
PBANKA_1040200,241,108,24,24,86,4
PBANKA_1040300,85,31,12,7,35,6
PBANKA_1040400,51,21,6,10,37,0
PBANKA_1040500,186,29,12,2,6,7
PBANKA_1040521,187,67,24,17,40,3
PBANKA_1040541,508,419,95,62,224,4
PBANKA_1040561,13,4,1,8,17,0
PBANKA_1040581,64,24,3,25,60,18
PBANKA_1040601,0,0,0,0,0,0
PBANKA_1040621,0,1,0,0,2,0
PBANKA_1100011,0,0,0,0,0,0
PBANKA_1100021,0,0,0,0,0,0
PBANKA_1100031,0,0,0,0,0,0
PBANKA_1100041,0,0,0,0,0,0
PBANKA_1100051,0,0,0,0,0,0
PBANKA_1100061,0,0,0,0,0,0
PBANKA_1100071,0,0,0,0,0,0
PBANKA_1100100,0,0,0,0,0,0
PBANKA_1100200,0,0,0,0,0,0
PBANKA_1100300,3,0,0,2,1,2
PBANKA_1100351,204,96,25,7,17,3
PBANKA_1100400,102,42,15,3,43,5
PBANKA_1100441,318,102,37,23,59,1
PBANKA_1100461,76,27,2,7,12,2
PBANKA_1100500,39,13,4,6,9,2
PBANKA_1100600,19,3,6,0,0,2
PBANKA_1100700,384,162,86,34,118,9
PBANKA_1100750,26,5,3,2,7,4
PBANKA_1100781,95,52,16,8,20,0
PBANKA_1100821,127,53,22,8,16,2
PBANKA_1100850,17,8,3,2,6,3
PBANKA_1100860,3516,3388,842,833,1884,778
PBANKA_1100900,1594,1392,572,426,1265,394
PBANKA_1101000,320,205,127,106,228,75
PBANKA_1101100,1788,772,258,134,509,115
PBANKA_1101200,20433,17171,4414,3710,10125,2554
PBANKA_1101300,1956,692,266,411,747,261
PBANKA_1101400,4264,3078,1514,1123,4782,322
PBANKA_1101500,2110,549,147,87,438,53
PBANKA_1101600,10458,4324,1255,999,2314,649
PBANKA_1101700,918,415,149,132,363,94
PBANKA_1101800,447,122,63,52,220,47
PBANKA_1101900,620,397,140,78,291,78
PBANKA_1102000,999,360,150,189,510,126
PBANKA_1102100,6762,1839,625,484,2380,342
PBANKA_1102200,5080,1722,897,426,1766,176
PBANKA_1102300,4251,1828,545,219,863,177
PBANKA_1102400,284,152,54,84,178,46
PBANKA_1102500,536,323,108,11,154,12
PBANKA_1102600,331,275,177,137,839,48
PBANKA_1102700,540,555,196,241,378,84
PBANKA_1102800,1888,584,246,130,467,82
PBANKA_1102900,5471,1886,668,259,1139,264
PBANKA_1103000,3850,2271,762,960,1541,770
PBANKA_1103100,4583,2358,694,562,1417,367
PBANKA_1103200,1060,349,137,81,344,51
PBANKA_1103300,952,563,143,144,426,151
PBANKA_1103400,4955,3824,1007,1044,2880,643
PBANKA_1103500,646,189,122,75,229,29
PBANKA_1103600,943,508,244,167,464,80
PBANKA_1103700,1003,640,243,108,1485,86
PBANKA_1103800,1295,738,264,466,773,308
PBANKA_1103900,1309,1051,350,113,641,89
PBANKA_1104000,716,336,127,67,254,43
PBANKA_1104100,24137,28072,7192,9598,19219,3658
PBANKA_1104200,2335,1391,386,353,786,199
PBANKA_1104300,605,239,87,87,223,52
PBANKA_1104400,13482,3298,644,1128,4311,949
PBANKA_1104500,2420,1557,599,308,1578,168
PBANKA_1104600,1732,667,183,253,751,219
PBANKA_1104700,2414,576,263,256,984,372
PBANKA_1104800,1105,425,184,80,480,48
PBANKA_1104900,1367,761,253,153,448,95
PBANKA_1105000,616,194,82,41,191,41
PBANKA_1105100,12259,4851,1071,1408,3220,1079
PBANKA_1105200,1984,1083,315,159,895,194
PBANKA_1105300,1025,327,137,59,295,75
PBANKA_1105400,1433,970,393,618,919,309
PBANKA_1105500,1657,1231,326,558,805,291
PBANKA_1105600,737,227,95,119,332,65
PBANKA_1105700,1354,1064,391,266,1447,152
PBANKA_1105800,933,496,166,74,411,31
PBANKA_1105900,918,388,133,84,274,43
PBANKA_1106000,12386,11953,2390,5167,7922,2251
PBANKA_1106100,17439,4582,207,417,4693,461
PBANKA_1106200,400,264,64,109,187,146
PBANKA_1106300,475,291,114,98,227,85
PBANKA_1106400,1125,702,268,440,759,258
PBANKA_1106500,38892,32045,8788,12460,18791,5488
PBANKA_1106600,136,36,18,16,52,13
PBANKA_1106700,11487,6500,2334,2122,4756,1610
PBANKA_1106800,4342,2387,881,615,2182,776
PBANKA_1106900,146,108,86,31,85,22
PBANKA_1107000,648,460,132,196,266,74
PBANKA_1107100,9261,4436,1651,833,2616,506
PBANKA_1107200,2897,1469,518,381,1053,247
PBANKA_1107300,1257,548,204,102,442,59
PBANKA_1107400,4673,2018,692,714,1725,681
PBANKA_1107500,402,189,84,30,302,14
PBANKA_1107600,1633,1057,326,186,760,102
PBANKA_1107700,3429,1495,412,469,1201,275
PBANKA_1107800,5178,4282,1204,1332,3098,744
PBANKA_1107900,8053,6400,2899,2311,8639,1569
PBANKA_1108000,6161,2293,750,269,1337,269
PBANKA_1108100,2728,1026,214,374,1049,313
PBANKA_1108200,369,354,106,89,187,73
PBANKA_1108300,11272,5853,327,1279,3269,1173
PBANKA_1108400,622,415,137,62,236,59
PBANKA_1108500,46426,11322,255,3127,15418,3179
PBANKA_1108600,5673,1506,257,319,2003,339
PBANKA_1108700,46864,18235,1578,4915,14124,2581
PBANKA_1108800,2355,1076,270,55,164,43
PBANKA_1108900,494,559,162,38,335,53
PBANKA_1109000,11575,3743,484,1370,3406,908
PBANKA_1109100,232,147,67,48,112,24
PBANKA_1109200,830,492,179,172,366,145
PBANKA_1109300,35595,22682,6827,4385,13387,3677
PBANKA_1109400,7731,3069,401,773,2460,652
PBANKA_1109500,196,98,31,14,116,5
PBANKA_1109600,9646,4911,1621,1280,2571,286
PBANKA_1109700,13951,3299,495,799,2948,975
PBANKA_1109800,889,282,121,153,420,249
PBANKA_1109900,6018,5886,1824,2402,5445,1264
PBANKA_1110000,366,101,38,28,128,22
PBANKA_1110100,6116,3370,837,963,2467,1024
PBANKA_1110121,11,7,5,6,5,10
PBANKA_1110200,17544,11408,3006,2193,8452,1641
PBANKA_1110300,6165,2820,918,488,1080,256
PBANKA_1110350,19,4,30,6,130,13
PBANKA_1110500,2907,1763,758,588,1710,317
PBANKA_1110600,3928,4089,850,908,4122,453
PBANKA_1110700,10712,3435,1148,942,2424,569
PBANKA_1110800,1351,468,204,154,473,160
PBANKA_1110900,417,330,86,35,164,44
PBANKA_1111000,26158,4179,313,909,6911,1336
PBANKA_1111200,114,83,21,45,53,19
PBANKA_1111300,379,201,61,43,205,12
PBANKA_1111400,2081,976,456,213,1064,123
PBANKA_1111500,240,79,19,117,132,56
PBANKA_1111600,1798,1014,440,202,1101,139
PBANKA_1111700,578,492,179,190,484,125
PBANKA_1111800,322,99,53,24,93,18
PBANKA_1111900,1431,1148,423,275,946,212
PBANKA_1112000,98,55,23,30,45,17
PBANKA_1112100,356,150,83,53,175,54
PBANKA_1112200,1453,603,209,143,438,91
PBANKA_1112300,2122,1323,759,834,1797,370
PBANKA_1112400,824,155,74,45,198,22
PBANKA_1112500,1702,395,174,272,542,138
PBANKA_1112600,500,206,90,80,286,34
PBANKA_1112700,2067,887,375,209,1265,129
PBANKA_1112800,2559,2511,812,598,1535,371
PBANKA_1112900,1595,481,173,259,515,162
PBANKA_1113000,7264,4567,2151,2358,5629,1119
PBANKA_1113100,378,354,89,136,276,113
PBANKA_1113200,635,342,121,207,644,172
PBANKA_1113300,4412,2215,289,516,1629,374
PBANKA_1113400,29545,17937,2603,3086,12138,2438
PBANKA_1113500,4806,4339,1301,947,3334,705
PBANKA_1113600,1884,883,311,124,447,63
PBANKA_1113700,5349,2630,799,451,1111,225
PBANKA_1113800,2780,889,321,269,1067,299
PBANKA_1113900,2042,684,286,247,901,226
PBANKA_1114000,1974,542,221,245,780,177
PBANKA_1114051,2,7,3,8,1,8
PBANKA_1114100,10396,8080,2816,2782,10578,1533
PBANKA_1114200,14159,15329,5190,7081,13946,3303
PBANKA_1114300,4463,1643,512,336,1238,379
PBANKA_1114400,2428,885,329,160,517,140
PBANKA_1114500,597,283,104,83,240,68
PBANKA_1114600,7091,4752,1570,1240,3129,1214
PBANKA_1114700,1000,404,190,143,377,113
PBANKA_1114800,100,59,26,40,77,35
PBANKA_1114900,5728,2542,479,886,2775,361
PBANKA_1115000,81824,33023,9436,6436,27236,4939
PBANKA_1115100,2553,956,453,363,1133,230
PBANKA_1115200,43463,15463,3832,2703,9067,1568
PBANKA_1115300,132435,122249,37586,37545,156669,15447
PBANKA_1115400,674,522,171,108,436,64
PBANKA_1115500,1250,541,166,109,473,56
PBANKA_1115600,1050,650,187,53,449,44
PBANKA_1115700,7021,2888,862,527,1438,268
PBANKA_1115800,815,301,105,120,329,102
PBANKA_1115900,463,239,77,96,179,69
PBANKA_1116000,518,287,83,78,254,70
PBANKA_1116100,2806,993,291,348,750,288
PBANKA_1116200,1888,519,273,168,728,91
PBANKA_1116300,1991,1012,312,366,706,217
PBANKA_1116400,1710,563,200,193,487,127
PBANKA_1116500,3760,2275,864,575,1810,420
PBANKA_1116700,1663,571,204,209,650,180
PBANKA_1116800,8063,3867,1300,360,2494,281
PBANKA_1116900,1176,1064,461,198,708,56
PBANKA_1117000,11757,8588,3644,4433,8842,1303
PBANKA_1117100,7193,7302,3339,5176,10386,2417
PBANKA_1117200,522,189,67,55,182,73
PBANKA_1117300,780,237,99,62,308,52
PBANKA_1117400,928,437,151,68,564,52
PBANKA_1117500,9798,8428,5215,4749,15157,3370
PBANKA_1117600,292,284,104,209,345,126
PBANKA_1117700,4600,3081,1501,1094,4598,479
PBANKA_1117800,791,443,232,275,644,141
PBANKA_1117900,1293,815,248,111,227,67
PBANKA_1118000,2433,1004,310,101,302,56
PBANKA_1118100,1994,975,463,379,2218,174
PBANKA_1118200,2143,724,231,198,664,140
PBANKA_1118300,657,476,192,276,801,153
PBANKA_1118400,691,243,81,104,301,71
PBANKA_1118500,11396,4060,255,710,2660,659
PBANKA_1118600,10960,6485,2345,3363,5535,1991
PBANKA_1118700,2397,656,386,455,1190,128
PBANKA_1118800,207,75,29,42,92,28
PBANKA_1118900,1325,645,227,206,405,130
PBANKA_1119000,1232,351,191,301,604,252
PBANKA_1119100,875,529,203,151,447,128
PBANKA_1119200,1266,940,285,277,553,141
PBANKA_1119300,1132,865,275,396,955,193
PBANKA_1119400,92,56,36,28,77,22
PBANKA_1119500,201,97,31,38,102,36
PBANKA_1119600,399,262,96,60,263,60
PBANKA_1119700,2921,1560,590,339,1226,238
PBANKA_1119800,1005,432,142,93,315,31
PBANKA_1119900,1406,541,274,118,630,52
PBANKA_1119921,17,28,23,65,36,13
PBANKA_1119941,21,6,6,14,29,11
PBANKA_1120000,925,298,140,110,338,53
PBANKA_1120100,7379,2651,993,734,2365,615
PBANKA_1120200,936,1118,355,478,869,394
PBANKA_1120300,441,285,80,67,196,44
PBANKA_1120400,139993,76271,18370,11427,45241,8553
PBANKA_1120500,108,46,13,16,60,21
PBANKA_1120551,6,4,10,13,12,10
PBANKA_1120600,2065,627,222,227,590,191
PBANKA_1120700,3334,2386,822,992,2546,437
PBANKA_1120800,1913,528,235,172,564,133
PBANKA_1120900,1046,442,180,124,441,89
PBANKA_1121000,14758,5236,1296,1326,4778,927
PBANKA_1121100,1142,467,158,128,402,111
PBANKA_1121200,1642,920,332,140,631,89
PBANKA_1121300,712,323,134,48,340,51
PBANKA_1121400,1306,778,291,192,651,134
PBANKA_1121500,1947,1545,701,272,3194,191
PBANKA_1121600,1115,551,221,238,508,185
PBANKA_1121700,8872,2980,796,1769,3413,1170
PBANKA_1121800,2317,788,229,222,766,159
PBANKA_1121900,1587,835,324,205,603,181
PBANKA_1122000,5015,2731,813,901,2493,572
PBANKA_1122100,598,194,80,84,297,40
PBANKA_1122200,150,79,33,35,109,20
PBANKA_1122300,1295,927,325,285,658,174
PBANKA_1122400,1394,879,414,358,1100,279
PBANKA_1122500,2352,1780,231,505,1146,270
PBANKA_1122600,983,327,96,79,374,64
PBANKA_1122700,8285,3305,724,842,3270,759
PBANKA_1122800,2998,2009,675,250,668,109
PBANKA_1122900,5634,1937,1038,769,1609,275
PBANKA_1123000,783,499,170,164,355,104
PBANKA_1123100,1342,1074,434,221,979,145
PBANKA_1123200,10778,10723,2885,3396,7612,2852
PBANKA_1123300,2737,900,293,394,1121,146
PBANKA_1123400,447,350,154,136,285,50
PBANKA_1123500,50430,13515,589,2353,8786,2539
PBANKA_1123600,291,202,75,71,239,32
PBANKA_1123700,912,358,135,55,105,36
PBANKA_1123800,6304,2862,919,181,893,111
PBANKA_1123900,1011,826,297,416,915,223
PBANKA_1124000,11659,10385,2709,3262,7864,1161
PBANKA_1124100,597,251,156,335,749,150
PBANKA_1124200,766,292,112,75,318,51
PBANKA_1124300,889,549,193,71,470,45
PBANKA_1124400,1178,311,128,164,460,82
PBANKA_1124500,5496,2413,853,619,1832,440
PBANKA_1124600,795,597,327,168,709,87
PBANKA_1124700,1035,863,228,140,500,156
PBANKA_1124800,1015,265,120,123,375,68
PBANKA_1124900,2092,1156,384,405,854,292
PBANKA_1125000,227,88,50,90,154,57
PBANKA_1125100,79,104,37,37,132,17
PBANKA_1125200,2720,872,249,246,683,103
PBANKA_1125300,9766,3590,516,886,4620,922
PBANKA_1125400,1110,380,66,149,518,151
PBANKA_1125500,2266,922,305,207,870,140
PBANKA_1125600,15833,9948,4301,5107,8574,2842
PBANKA_1125650,0,2,0,2,12,6
PBANKA_1125700,992,437,182,124,353,97
PBANKA_1125800,1387,994,293,79,193,27
PBANKA_1125900,41064,18770,825,5133,13161,2694
PBANKA_1126000,3308,1983,637,421,1928,229
PBANKA_1126100,505,246,71,97,120,41
PBANKA_1126200,2809,2790,901,689,2166,574
PBANKA_1126300,5010,2635,799,514,1668,394
PBANKA_1126400,4630,1752,669,565,1410,400
PBANKA_1126500,3221,1072,325,367,936,242
PBANKA_1126600,1217,518,159,72,377,76
PBANKA_1126700,187,132,29,21,103,19
PBANKA_1126800,163470,26491,465,2857,38642,4071
PBANKA_1126900,6870,2364,153,742,1763,464
PBANKA_1127000,5944,3014,1798,1018,3574,520
PBANKA_1127100,368,200,51,62,190,72
PBANKA_1127200,225,157,50,51,101,25
PBANKA_1127300,785,287,113,59,206,94
PBANKA_1127400,212,81,43,42,114,23
PBANKA_1127500,1465,1005,284,317,820,284
PBANKA_1127600,55,6,10,9,22,15
PBANKA_1127700,1808,663,349,253,701,153
PBANKA_1127800,4716,2637,868,617,1532,605
PBANKA_1127900,466,177,43,50,153,57
PBANKA_1128000,1,0,0,0,3,1
PBANKA_1128100,5224,4241,1155,1090,1901,942
PBANKA_1128200,2332,741,304,312,772,263
PBANKA_1128300,542,240,112,83,232,64
PBANKA_1128400,108,68,28,19,41,21
PBANKA_1128500,17133,4494,274,755,4567,895
PBANKA_1128600,3538,1051,373,284,898,221
PBANKA_1128700,1914,1702,724,277,1029,191
PBANKA_1128800,16070,17751,8067,15277,24403,7164
PBANKA_1128900,3137,1731,523,520,1370,379
PBANKA_1129000,12748,13781,3031,5491,8755,3171
PBANKA_1129100,15575,4765,244,856,2424,531
PBANKA_1129200,610,305,133,83,242,40
PBANKA_1129300,258,138,40,34,93,12
PBANKA_1129400,3376,1170,355,310,1162,223
PBANKA_1129500,288,159,71,78,162,33
PBANKA_1129600,2734,3624,1077,58,710,31
PBANKA_1129700,1749,628,180,116,370,43
PBANKA_1129800,14523,6897,2441,1105,5313,693
PBANKA_1129900,2870,805,314,298,1032,212
PBANKA_1130000,2125,531,206,236,669,153
PBANKA_1130100,1103,807,257,220,718,205
PBANKA_1130200,1042,663,166,104,581,59
PBANKA_1130300,525,408,122,55,174,39
PBANKA_1130400,1920,1573,983,696,2873,407
PBANKA_1130500,1834,1335,684,582,1536,313
PBANKA_1130600,339,153,61,73,171,67
PBANKA_1130700,957,465,159,131,520,152
PBANKA_1130800,1596,624,181,283,507,130
PBANKA_1130900,7195,3267,760,874,2422,585
PBANKA_1131000,1608,1241,491,744,1343,447
PBANKA_1131100,1910,1213,367,564,783,413
PBANKA_1131200,295,178,80,48,273,33
PBANKA_1131300,167,129,34,33,89,38
PBANKA_1131400,18229,7582,2304,1471,5557,1775
PBANKA_1131500,4667,3043,803,579,1902,556
PBANKA_1131600,9976,4583,1295,1035,1601,541
PBANKA_1131700,975,354,152,116,249,58
PBANKA_1131800,482,281,130,82,314,57
PBANKA_1131851,24,7,3,8,19,11
PBANKA_1131900,3053,1040,373,241,1042,188
PBANKA_1132000,3361,692,223,268,839,436
PBANKA_1132100,497,443,229,336,656,214
PBANKA_1132200,408,190,88,40,155,25
PBANKA_1132300,37028,10550,2453,3151,13467,1909
PBANKA_1132400,1443,518,107,100,488,101
PBANKA_1132500,381,257,94,108,204,46
PBANKA_1132600,1775,2026,1170,2236,3897,845
PBANKA_1132700,3787,1335,270,458,1744,462
PBANKA_1132800,2462,1723,828,519,1698,89
PBANKA_1132900,1474,921,234,192,493,199
PBANKA_1133000,271,283,85,64,168,41
PBANKA_1133100,93042,19457,314,4246,25605,4203
PBANKA_1133200,2366,2640,882,964,2171,470
PBANKA_1133300,1691,1335,670,1460,1960,648
PBANKA_1133400,1718,1137,386,1407,2309,602
PBANKA_1133500,1144,575,237,155,408,116
PBANKA_1133600,869,476,137,20,52,15
PBANKA_1133700,2539,1119,377,179,691,145
PBANKA_1133800,4546,1823,538,511,1038,278
PBANKA_1133900,170,111,56,36,152,45
PBANKA_1134000,1991,705,176,249,614,170
PBANKA_1134100,4978,2445,1044,844,1808,728
PBANKA_1134200,212,120,53,56,80,35
PBANKA_1134300,3706,1047,110,325,1046,235
PBANKA_1134400,2994,1669,475,221,791,146
PBANKA_1134500,1183,313,164,137,490,86
PBANKA_1134600,181,69,45,33,88,10
PBANKA_1134700,987,951,651,468,2179,258
PBANKA_1134800,672,408,136,87,262,92
PBANKA_1134900,213273,93339,19004,18559,69693,13721
PBANKA_1135000,1654,530,273,114,527,55
PBANKA_1135100,3908,2838,878,989,2813,648
PBANKA_1135200,1615,1374,339,721,944,480
PBANKA_1135300,2456,866,189,283,895,221
PBANKA_1135400,1681,583,173,146,482,85
PBANKA_1135500,3763,2231,668,797,1405,561
PBANKA_1135600,1363,550,205,185,489,169
PBANKA_1135700,5970,4081,501,1078,3269,586
PBANKA_1135800,2390,1791,433,354,982,275
PBANKA_1135900,3801,938,208,229,1052,226
PBANKA_1136000,236,199,46,39,111,25
PBANKA_1136100,9032,4155,502,1566,4341,1189
PBANKA_1136200,1178,1557,1393,952,3642,485
PBANKA_1136300,1631,1843,810,1047,3031,568
PBANKA_1136400,1193,954,391,362,898,154
PBANKA_1136500,333,153,104,65,220,29
PBANKA_1136600,333,235,68,44,217,25
PBANKA_1136700,21029,6661,1666,1462,5915,1057
PBANKA_1136900,4887,1739,473,419,1125,199
PBANKA_1137000,10714,4535,1324,1050,2851,860
PBANKA_1137100,422,151,70,78,136,27
PBANKA_1137200,4446,2901,445,1030,2250,581
PBANKA_1137300,11754,4966,811,941,2782,802
PBANKA_1137400,11281,9675,3395,2785,13384,2167
PBANKA_1137500,2605,1453,622,310,1353,213
PBANKA_1137600,517,309,123,65,244,39
PBANKA_1137700,4146,3528,868,1107,2039,602
PBANKA_1137800,5394,1813,120,440,1684,442
PBANKA_1137900,10575,6125,2097,1500,3762,1172
PBANKA_1138000,2691,2312,949,1730,3270,724
