Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_0203300,632,386,138,143,335,71
PBANKA_0203400,369,302,79,151,214,59
PBANKA_0203500,1830,829,327,275,752,271
PBANKA_0203600,15322,11796,3520,2706,6846,2976
PBANKA_0203650,533,454,207,115,819,55
PBANKA_0203750,1774,1344,506,470,1236,188
PBANKA_0203800,1978,554,252,286,598,168
PBANKA_0203900,414,547,216,39,271,25
PBANKA_0204000,146,128,36,30,105,33
PBANKA_0204100,795,498,191,251,545,139
PBANKA_0204200,2939,1551,569,296,1774,271
PBANKA_0204300,610,290,99,118,446,82
PBANKA_0204400,4561,1805,539,504,1418,393
PBANKA_0204500,24323,7510,2584,2716,7103,2144
PBANKA_0204600,3397,2299,602,505,1354,196
PBANKA_0204700,1050,855,298,378,781,219
PBANKA_0204800,4896,2065,213,511,1813,238
PBANKA_0204900,1224,718,297,308,619,166
PBANKA_0205000,2082,1915,521,143,904,81
PBANKA_0205100,1573,548,144,173,426,147
PBANKA_0205200,26289,6482,434,2952,7075,1664
PBANKA_0205300,894,395,123,97,320,61
PBANKA_0205400,1762,1089,473,418,742,314
PBANKA_0205500,100,56,21,24,88,32
PBANKA_0205600,873,246,105,87,287,60
PBANKA_0205700,20,13,5,4,8,7
PBANKA_0205800,64474,18299,955,2498,14819,2363
PBANKA_0205900,5234,1615,567,695,1553,419
PBANKA_0206000,1851,1032,344,264,1000,162
PBANKA_0206100,677,533,179,127,473,60
PBANKA_0206200,712,462,197,160,336,101
PBANKA_0206300,5942,3768,1185,1074,1559,350
PBANKA_0206400,455,208,82,86,181,54
PBANKA_0206500,1378,1055,392,412,829,276
PBANKA_0206600,2111,616,217,261,709,134
PBANKA_0206700,265,271,64,18,50,12
PBANKA_0206800,5184,1575,499,332,1146,218
PBANKA_0206900,278,185,68,83,145,57
PBANKA_0207000,10368,5435,1171,1752,3694,1359
PBANKA_0207100,1065,672,197,66,186,42
PBANKA_0207200,1740,714,297,170,709,80
PBANKA_0207300,772,308,125,153,280,59
PBANKA_0207400,971,345,117,89,286,52
PBANKA_0207500,4599,1705,553,461,1744,245
PBANKA_0207600,14929,5030,129,746,6105,647
PBANKA_0207700,1558,394,131,193,513,95
PBANKA_0207800,186,121,56,51,115,24
PBANKA_0207900,102,75,23,27,177,11
PBANKA_0208000,1960,1141,385,300,1011,178
PBANKA_0208100,3192,635,223,184,597,88
PBANKA_0208200,1236,617,176,84,411,65
PBANKA_0208300,1162,325,97,91,306,49
PBANKA_0208400,2446,707,146,176,684,83
PBANKA_0208500,949,409,202,238,526,122
PBANKA_0208600,711,334,130,109,314,100
PBANKA_0208700,1663,756,254,275,681,136
PBANKA_0208800,10079,2989,251,643,3605,896
PBANKA_0208900,892,568,160,103,422,74
PBANKA_0209000,878,625,187,145,439,87
PBANKA_0209100,343,300,88,165,227,91
PBANKA_0209200,952,323,131,73,271,43
PBANKA_0209300,13561,12259,4705,7053,13264,3801
PBANKA_0209400,950,541,235,213,767,70
PBANKA_0209500,1956,1034,352,338,1055,181
PBANKA_0209600,699,422,154,154,446,112
PBANKA_0209700,8093,2889,211,1051,2585,722
PBANKA_0209800,725,228,119,93,425,78
PBANKA_0209900,472,166,80,75,239,68
PBANKA_0210000,1381,647,216,243,572,186
PBANKA_0210100,1207,888,309,209,637,244
PBANKA_0210200,6723,4843,1763,2383,4349,816
PBANKA_0210300,542,353,118,159,314,58
PBANKA_0210400,12631,5654,1602,1383,3833,819
PBANKA_0210500,3754,1138,274,385,1156,224
PBANKA_0210600,14794,4127,221,585,5435,453
PBANKA_0210700,2322,1107,309,526,994,341
PBANKA_0210800,474,242,205,71,400,57
PBANKA_0210900,119,65,42,58,120,35
PBANKA_0211000,855,548,196,154,450,149
PBANKA_0211100,347,94,45,44,136,28
PBANKA_0211200,1368,560,180,111,496,102
PBANKA_0211300,1463,877,233,233,594,143
PBANKA_0211400,1177,469,160,110,437,80
PBANKA_0211500,2391,1282,507,657,942,349
PBANKA_0211600,1417,687,241,265,644,286
PBANKA_0211700,824,192,103,97,283,113
PBANKA_0211800,233,99,26,93,101,52
PBANKA_0211900,2122,695,275,298,869,203
PBANKA_0212000,838,280,106,119,476,99
PBANKA_0212100,5727,3314,1243,966,2251,578
PBANKA_0212200,9271,2100,116,527,2712,648
PBANKA_0212300,1574,729,241,122,621,106
PBANKA_0212400,2195,1005,302,288,611,189
PBANKA_0212500,580,292,108,73,268,45
PBANKA_0212600,1460,442,185,83,306,44
PBANKA_0212700,8328,4008,517,1141,3402,891
PBANKA_0212800,2186,1523,529,527,1180,221
PBANKA_0212900,1741,1250,696,690,2127,461
PBANKA_0213000,2460,2790,1140,1261,3850,677
PBANKA_0213100,535,401,110,101,238,57
PBANKA_0213200,27806,6352,172,1391,7489,1597
PBANKA_0213300,233,262,73,82,279,46
PBANKA_0213400,1756,675,215,205,525,146
PBANKA_0213500,2653,1822,719,713,2140,407
PBANKA_0213600,3167,2081,263,556,1347,420
PBANKA_0213700,1851,1448,417,384,854,124
PBANKA_0213800,3685,2030,533,512,1550,197
PBANKA_0213900,1357,797,288,10,136,9
PBANKA_0214000,27370,6547,189,784,6761,941
PBANKA_0214100,98,86,25,35,133,24
PBANKA_0214200,2115,958,282,206,612,209
PBANKA_0214300,2334,1238,311,511,863,309
PBANKA_0214400,7782,2552,568,1051,2331,568
PBANKA_0214500,1675,1138,453,316,896,228
PBANKA_0214521,9,8,8,8,0,16
PBANKA_0214531,7,6,8,16,20,13
PBANKA_0214550,630,245,104,70,168,33
PBANKA_0214600,1458,713,121,182,705,98
PBANKA_0214700,9067,3886,1232,1244,2962,765
PBANKA_0214800,8506,7459,1764,2203,3815,1429
PBANKA_0214900,283,159,70,75,239,29
PBANKA_0214951,43,21,19,11,20,9
PBANKA_0215700,101,54,13,4,36,9
PBANKA_0215800,202,62,38,8,27,11
PBANKA_0215900,18,3,2,0,7,5
PBANKA_0216000,238,209,66,11,9,22
PBANKA_0216021,2,0,1,0,0,0
PBANKA_0216041,26,2,3,1,5,0
PBANKA_0216061,66,10,6,0,1,4
PBANKA_0216081,0,0,0,0,0,0
PBANKA_0216701,43,31,8,4,16,1
PBANKA_0216721,1,2,0,0,1,0
PBANKA_0216741,251,297,128,29,171,14
PBANKA_0216761,342,136,49,35,141,26
PBANKA_0216781,314,202,64,102,280,15
PBANKA_0216801,117,38,28,21,56,13
PBANKA_0300100,519,187,46,41,64,4
PBANKA_0300200,49,16,7,3,17,0
PBANKA_0300300,446,220,69,49,183,7
PBANKA_0300400,28,3,2,1,15,6
PBANKA_0300500,59,32,8,6,24,1
PBANKA_0300600,5585,5689,637,2415,4360,595
PBANKA_0300700,6918,2766,893,1013,2375,946
PBANKA_0300800,633,252,85,83,231,58
PBANKA_0300900,590,203,75,86,393,89
PBANKA_0301000,11572,4883,1072,1016,3681,993
PBANKA_0301100,4363,2518,785,679,1897,425
PBANKA_0301200,1063,703,360,168,866,70
PBANKA_0301300,20595,17024,6764,10284,27538,5805
PBANKA_0301351,6,8,4,6,8,11
PBANKA_0301400,1637,1008,281,239,749,212
PBANKA_0301500,1093,605,167,142,370,85
PBANKA_0301600,57212,44179,13032,18517,28014,13580
PBANKA_0301700,1884,805,346,179,1176,109
PBANKA_0301800,2630,885,360,107,441,20
PBANKA_0301900,4707,1479,357,706,1542,777
PBANKA_0302000,2407,1943,679,210,1605,175
PBANKA_0302100,3345,949,342,194,928,48
PBANKA_0302200,1755,626,204,94,662,28
PBANKA_0302300,613,305,108,76,384,65
PBANKA_0302400,498,270,101,58,247,104
PBANKA_0302500,6214,3008,938,896,1830,549
PBANKA_0302600,2328,1385,452,287,1208,125
PBANKA_0302700,489,98,48,74,163,26
PBANKA_0302800,2896,943,322,352,878,537
PBANKA_0302900,2090,1192,475,45,175,16
PBANKA_0303000,1985,567,209,15,116,20
PBANKA_0303100,778,311,111,110,298,69
PBANKA_0303200,514,281,109,145,425,60
PBANKA_0303300,2860,945,400,373,856,239
PBANKA_0303400,1597,1086,392,350,924,142
PBANKA_0303500,3707,2921,976,1082,3664,450
PBANKA_0303600,6709,3092,846,1284,2424,713
PBANKA_0303700,12535,4706,472,1696,3345,831
PBANKA_0303800,1736,1450,557,402,1557,162
PBANKA_0303900,4970,3419,951,781,1901,477
PBANKA_0304000,558,138,70,91,232,60
PBANKA_0304100,3333,816,214,218,767,168
PBANKA_0304200,226,159,50,46,124,39
PBANKA_0304300,403,222,92,54,259,44
PBANKA_0304400,1124,1189,469,613,1306,276
PBANKA_0304500,7313,2612,305,665,2744,530
PBANKA_0304600,265,218,76,74,127,51
PBANKA_0304700,65,62,18,16,46,26
PBANKA_0304800,3507,775,356,257,692,170
PBANKA_0304900,6673,4390,649,1221,3920,302
PBANKA_0305000,5963,2121,344,862,1831,164
PBANKA_0305100,8726,4308,597,1502,3366,318
PBANKA_0305200,750,366,157,116,266,117
PBANKA_0305300,662,409,125,39,298,36
PBANKA_0305400,916,316,109,163,329,103
PBANKA_0305500,1062,346,128,137,447,109
PBANKA_0305600,320,174,73,29,162,34
PBANKA_0305700,493,360,156,31,260,44
PBANKA_0305800,1014,765,290,185,617,99
PBANKA_0305900,1191,701,214,172,644,96
PBANKA_0306000,22356,4627,366,255,1511,124
PBANKA_0306100,12290,2903,136,395,1757,248
PBANKA_0306200,1192,922,362,346,683,145
PBANKA_0306300,499,366,189,185,397,103
PBANKA_0306400,606,340,157,73,354,79
PBANKA_0306500,1446,1102,315,379,941,364
PBANKA_0306600,2978,2049,673,542,1395,592
PBANKA_0306700,578,390,142,122,303,50
PBANKA_0306800,4331,2178,787,675,1445,458
PBANKA_0306900,7357,6750,1737,1759,4021,1591
PBANKA_0307000,2767,1799,1235,1320,4284,866
PBANKA_0307100,18542,5197,1470,1581,4287,1489
PBANKA_0307200,3942,2451,1023,809,2347,394
PBANKA_0307300,648,347,142,46,220,30
PBANKA_0307400,1444,359,109,143,529,97
PBANKA_0307500,243,210,62,69,177,63
PBANKA_0307600,6241,2213,681,677,3169,334
PBANKA_0307700,56,13,6,33,46,24
PBANKA_0307800,14204,9143,2106,2266,5639,1678
PBANKA_0307900,596,195,58,102,227,119
PBANKA_0308000,862,466,182,151,403,103
PBANKA_0308100,772,347,199,134,347,79
PBANKA_0308200,327,213,73,101,163,101
PBANKA_0308300,7880,3004,903,594,1630,264
PBANKA_0308400,229,47,19,20,62,20
PBANKA_0308500,1441,675,253,249,690,172
PBANKA_0308600,3399,1614,708,502,1239,312
PBANKA_0308700,341,177,65,79,81,75
PBANKA_0308800,587,400,208,177,429,160
PBANKA_0308900,1398,404,174,97,505,115
PBANKA_0309000,657,346,116,151,244,131
PBANKA_0309100,1894,1276,504,632,1137,339
PBANKA_0309200,3075,810,334,468,1184,379
PBANKA_0309400,6545,1767,363,988,2385,527
PBANKA_0309500,251,240,92,87,245,34
PBANKA_0309600,307,126,53,23,122,9
PBANKA_0309700,455,250,119,122,273,56
PBANKA_0309800,473,333,107,121,241,75
PBANKA_0309900,170,102,39,23,121,23
PBANKA_0310000,2429,1543,623,879,1621,547
PBANKA_0310100,1107,843,348,239,936,189
PBANKA_0310200,375,318,126,101,256,79
PBANKA_0310300,3497,2652,737,625,1749,491
PBANKA_0310400,687,339,155,160,509,97
PBANKA_0310500,4423,1475,486,301,968,283
PBANKA_0310600,325,231,71,50,167,40
PBANKA_0310700,13057,6581,1899,2770,5171,2258
PBANKA_0310800,1788,786,262,303,725,319
PBANKA_0310900,4960,2791,348,675,2305,392
PBANKA_0311000,6656,2853,272,549,2429,327
PBANKA_0311100,1003,728,259,237,864,108
PBANKA_0311200,1575,743,261,139,600,73
PBANKA_0311300,194,53,16,12,132,17
PBANKA_0311400,16552,7567,656,2151,5419,2318
PBANKA_0311500,977,1202,358,264,754,193
PBANKA_0311600,3551,1643,608,569,1483,375
PBANKA_0311700,1045,511,131,109,301,56
PBANKA_0311800,3281,1262,452,447,976,143
PBANKA_0311900,1181,1482,376,719,1907,246
PBANKA_0312000,8638,6848,1979,1265,3793,823
PBANKA_0312100,3847,2114,540,527,1458,314
PBANKA_0312200,1372,608,155,128,454,91
PBANKA_0312300,791,703,195,136,598,109
PBANKA_0312400,6816,3179,446,1639,2357,1177
PBANKA_0312500,5003,3093,1025,479,1692,248
PBANKA_0312600,653,360,236,190,836,90
PBANKA_0312700,67626,22559,5281,181,1192,7062
PBANKA_0312800,604,190,102,212,761,69
