Geneid	271KO_RNA_1.bam	271KO_RNA_2.bam	271KO_RNA_3.bam
PBANKA_1213100	666	1333	1454
PBANKA_1226300	99	324	254
PBANKA_1142800	2581	4853	4560
PBANKA_1463600	26	97	70
PBANKA_0909200	339	776	850
PBANKA_0001101	2	1	5
PBANKA_1143000	677	1167	994
PBANKA_MIT03100	0	0	2
PBANKA_1304000	1027	2106	2300
PBANKA_0814100	36	109	154
PBANKA_0606600	483	1306	1436
PBANKA_0718600	46	138	70
PBANKA_1222600	643	1677	2065
PBANKA_1018300	1346	2704	3033
PBANKA_0931200	1875	5574	6398
PBANKA_1432200	7254	16438	17901
PBANKA_1406800	582	1695	1511
PBANKA_1346500	262	1005	947
PBANKA_0924600	83	280	181
PBANKA_0205100	273	783	656
PBANKA_1314300	915	2108	2571
PBANKA_0721400	92	272	282
PBANKA_1340900	108	183	291
PBANKA_1334000	340	1114	900
PBANKA_1309100	22	95	73
PBANKA_0916500	8	46	44
PBANKA_0711200	507	936	1173
PBANKA_0310700	3253	5619	6363
PBANKA_1108800	439	902	1023
PBANKA_0720300	248	668	725
PBANKA_0811500	95	258	277
PBANKA_1226800	1812	4268	3818
PBANKA_0930700	235	897	793
PBANKA_1103100	868	3250	2954
PBANKA_0316200	13518	26648	20398
PBANKA_1457900	270	551	553
PBANKA_1107300	274	790	766
PBANKA_0909300	144	384	335
PBANKA_0618800	114	487	498
PBANKA_0721100	1063	2419	2444
PBANKA_1453500	540	1029	1492
PBANKA_1039200	77	269	202
PBANKA_0407500	331	586	623
PBANKA_1351300	4516	10161	10380
PBANKA_1144600	308	1143	1148
PBANKA_1322700	376	930	910
PBANKA_1144700	326	970	753
PBANKA_1457600	180	577	346
PBANKA_0603000	668	1508	1589
PBANKA_1223600	558	1472	1418
PBANKA_0830600	84	386	333
PBANKA_0501100	556	1793	1723
PBANKA_MIT02400	12	18	21
PBANKA_1433700	797	1990	2057
PBANKA_1145900	961	3309	2381
PBANKA_1234600	1180	2794	2624
PBANKA_0709600	422	836	1004
PBANKA_1019000	287	680	770
PBANKA_1404000	129	307	277
PBANKA_0826100	37	153	118
PBANKA_0825000	88	212	195
PBANKA_0825800	895	1416	1519
PBANKA_1314100	809	1804	1995
PBANKA_0911900	95	261	366
PBANKA_1405500	166	521	528
PBANKA_1349800	126	378	393
PBANKA_1418700	35	154	101
PBANKA_0501800	445	1820	3298
PBANKA_1462400	49	246	164
PBANKA_0709700	1043	1913	2577
PBANKA_1117200	123	319	247
PBANKA_0833100	728	1794	1502
PBANKA_0807400	79	294	192
PBANKA_1454600	2187	4734	4048
PBANKA_1306500	38	68	87
PBANKA_1222500	3608	6679	8386
PBANKA_0818500	1569	3397	3506
PBANKA_0212300	187	461	562
PBANKA_0104400	1473	3041	2981
PBANKA_0808420	90	221	272
PBANKA_1424700	57	138	173
PBANKA_1002700	251	475	751
PBANKA_0909800	205	478	430
PBANKA_0205300	178	434	427
PBANKA_0927000	439	1363	1311
PBANKA_0512800	3082	8103	9084
PBANKA_0508000	4	14	18
PBANKA_0602900	803	1605	1797
PBANKA_0823500	704	1473	1948
PBANKA_1240800	21	81	44
PBANKA_0702300	578	1971	1960
PBANKA_0101700	816	1719	1813
PBANKA_0937400	625	1550	1424
PBANKA_0903100	997	1713	1745
PBANKA_1106000	3233	5956	7665
PBANKA_1104400	1645	4069	4456
PBANKA_1003800	2346	5108	4737
PBANKA_0300100	69	366	229
PBANKA_0825900	12179	24463	29373
PBANKA_1137700	787	1827	2155
PBANKA_1226400	397	1172	998
PBANKA_1242300	3552	6596	7726
PBANKA_1445500	412	1046	828
PBANKA_0702900	996	2886	2599
PBANKA_1334700	6655	12249	15494
PBANKA_0931400	102	367	205
PBANKA_0503900	75	232	269
PBANKA_1138600	8106	12988	14893
PBANKA_1312600	51	195	247
PBANKA_0820500	16	26	27
PBANKA_0926800	128	367	255
PBANKA_1421600	352	797	827
PBANKA_0930600	320	900	796
PBANKA_0605700	742	1650	1683
PBANKA_0612600	137	304	358
PBANKA_0103300	2836	7457	7772
PBANKA_1225100	654	1696	1701
PBANKA_0521600	161	451	453
PBANKA_1413400	404	1213	1167
PBANKA_0823800	28	98	69
PBANKA_1450800	478	1110	1200
PBANKA_1117700	1916	8087	7866
PBANKA_1140300	2218	3576	4409
PBANKA_0708400	152	485	415
PBANKA_0412200	252	839	752
PBANKA_0500100	0	0	0
PBANKA_0305600	27	179	124
PBANKA_1034100	2685	6233	6197
PBANKA_0928800	430	914	738
PBANKA_0308700	72	169	157
PBANKA_1406700	2099	4835	4448
PBANKA_1439000	149	623	647
PBANKA_1104600	399	793	781
PBANKA_1458100	239	590	612
PBANKA_1123100	379	827	968
PBANKA_1244000	107	565	440
PBANKA_1135800	978	1915	2007
