Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_0502900	9165	12261	10462
PBANKA_0714100	6947	6181	5902
PBANKA_0806900	3331	5653	4908
PBANKA_0103500	1235	1553	1381
PBANKA_0316600	23908	29914	28649
PBANKA_1424500	21821	23734	21093
PBANKA_1244700	7527	10098	8572
PBANKA_1228300	234057	258332	222930
PBANKA_0303100	1282	2534	2000
PBANKA_1345200	2068	2672	2183
PBANKA_1102300	15037	17403	15272
PBANKA_1416100	2396	4517	3332
PBANKA_1022300	6402	8670	7910
PBANKA_0702800	64610	103152	85615
PBANKA_1357000	1214	2903	1960
PBANKA_1335200	3229	5499	4693
PBANKA_0911300	928	2723	1837
PBANKA_1453700	52121	71451	60062
PBANKA_1118600	24575	42111	34033
PBANKA_0604100	8958	13248	11453
PBANKA_1226500	4349	8934	6193
PBANKA_0610900	18381	33395	27308
PBANKA_0605200	15297	24690	26341
PBANKA_1450100	2781	4684	3616
PBANKA_1136300	4078	5378	4796
PBANKA_1231600	59718	72828	63927
PBANKA_1353300	5106	7435	5885
PBANKA_1213100	4775	6415	6323
PBANKA_1226300	2707	3701	3537
PBANKA_1142800	28282	44304	34606
PBANKA_1463600	351	787	600
PBANKA_0909200	7551	9270	7789
PBANKA_0001101	11	9	17
PBANKA_1143000	4927	8405	6979
PBANKA_MIT03100	1	1	1
PBANKA_1304000	9937	13541	12925
PBANKA_0814100	834	1582	1136
PBANKA_0606600	8076	13182	11748
PBANKA_0718600	1045	1514	1073
PBANKA_1222600	9296	12731	10493
PBANKA_1018300	11051	14423	13971
PBANKA_0931200	33737	46812	42905
PBANKA_1432200	73593	100702	80685
PBANKA_1406800	6735	15836	11587
PBANKA_1346500	2776	4655	4000
PBANKA_0924600	811	1330	931
PBANKA_0205100	2554	4046	3555
PBANKA_1314300	14203	17853	15023
PBANKA_0721400	1323	2251	1612
PBANKA_1340900	1682	2343	2437
PBANKA_1334000	8368	12210	10429
PBANKA_1309100	564	1281	845
PBANKA_0916500	279	482	501
PBANKA_0711200	11770	14398	8118
PBANKA_0310700	28796	33047	32176
PBANKA_1108800	4292	6014	5793
PBANKA_0720300	3463	5660	4948
PBANKA_0811500	1592	2184	1921
PBANKA_1226800	22379	29953	23098
PBANKA_0930700	2832	4578	3752
PBANKA_1103100	10837	17779	14262
PBANKA_0316200	126496	207969	165350
PBANKA_1457900	2615	3881	3223
PBANKA_1107300	3961	6102	4756
PBANKA_0909300	1345	1914	1943
PBANKA_0618800	3685	5689	5235
PBANKA_0721100	21473	25049	23560
PBANKA_1453500	5480	6881	6021
PBANKA_1039200	1431	1984	1813
PBANKA_0407500	1789	3302	3158
PBANKA_1351300	61673	71230	59496
PBANKA_1144600	2055	3499	2667
PBANKA_1322700	4237	8792	7295
PBANKA_1144700	5631	9091	6965
PBANKA_1457600	4590	9252	6452
PBANKA_0603000	10664	13371	11926
PBANKA_1223600	6894	9626	7989
PBANKA_0830600	1098	1641	1401
PBANKA_0501100	5677	11078	8989
PBANKA_MIT02400	31	43	33
PBANKA_1433700	10483	13685	11938
PBANKA_1145900	9488	22241	16275
PBANKA_1234600	16886	25749	21484
PBANKA_0709600	9716	11102	8477
PBANKA_1019000	3144	4099	3848
PBANKA_1404000	1180	2285	1781
PBANKA_0826100	671	1404	1103
PBANKA_0825000	1990	3253	2387
PBANKA_0825800	6278	8086	7420
PBANKA_1314100	10894	14800	12913
PBANKA_0911900	1699	2860	2579
PBANKA_1405500	2154	4155	3177
PBANKA_1349800	769	1648	1476
PBANKA_1418700	849	2214	1532
PBANKA_0501800	6125	6844	6878
PBANKA_1462400	596	1249	871
PBANKA_0709700	11274	11734	12698
